Rank,Name,,Country,Time,
1,Carlijn ACHTEREEKTE,LSA,NED,"3.59,21",
2,Ireen WÜST,L30,NED,"3.59,29",
3,Antoinette de JONG,LN4,NED,"4.00,02",
4,Martina SÁBLÍKOVÁ,L30,CZE,"4.00,54",
5,Miho TAKAGI,LSA,JPN,"4.01,35",
6,Ivanie BLONDIN,LSA,CAN,"4.04,14",
7,Isabelle WEIDEMANN,LN3,CAN,"4.04,26",
8,Ayano SATO,LN2,JPN,"4.04,35",PR SB
9,Claudia PECHSTEIN,L45,GER,"4.04,49",
10,Natalia VORONINA Наталья Воронина ,LN4,RUS,"4.05,85",
11,Marina ZUEVA Марина Зуева ,LSA,BLR,"4.05,96",
12,Ida NJÅTUN,LSA,NOR,"4.06,67",
13,Francesca LOLLOBRIGIDA,LSA,ITA,"4.08,58",
14,Luiza ZŁOTKOWSKA,L30,POL,"4.09,69",
15,Nikola ZDRÁHALOVÁ,LN3,CZE,"4.11,36",
16,Karolina BOSIEK,LA1,POL,"4.12,44",
17,Katarzyna BACHLEDA-CURUŚ,L35,POL,"4.12,57",
18,KIM Bo-Reum 김보름 ,LSA,KOR,"4.12,79",
19,Ayaka KIKUCHI,L30,JPN,"4.13,25",
20,Brianne TUTT,LSA,CAN,"4.13,70",
21,HAO Jiachen 郝佳晨 ,LSA,CHN,"4.15,56",
22,Carlijn SCHOUTENS,LN4,USA,"4.15,60",
23,Roxane DUFTER,LSA,GER,"4.16,87",
24,LIU Jing 刘晶 ,LSA,CHN,"4.20,95",
